aircraft_type,country,type_of_travellers,route,seat_types,seat_comfort,cabin_staff_service,ground_service,food_beverages,wifi_connectivity,inflight_entertainment,value_for_money,recommended
Boeing 777-200,United States,Business,DOH to LHR via BAH,First Class,5.0,2.0,1.0,2.0,1.0,4.0,2.0,no
A380,United Kingdom,Business,LHR to JNB,Business Class,3.0,4.0,2.0,2.0,2.0,4.0,3.0,no
A320 / A380,United Kingdom,Family Leisure,MAN to LAX via LHR,Economy Class,1.0,3.0,2.0,1.0,0.0,3.0,1.0,no
Boeing 747,United Kingdom,Couple Leisure,LHR to JFK,Economy Class,3.0,5.0,5.0,5.0,0.0,4.0,3.0,yes
Boeing 777 and Boeing 787,United Kingdom,Solo Leisure,LHR to IAH,Business Class,4.0,5.0,4.0,4.0,0.0,4.0,5.0,yes
Boeing 777,China,Solo Leisure,LHR to PEK,Business Class,4.0,4.0,3.0,4.0,0.0,3.0,4.0,yes
Boeing 747,Canada,Solo Leisure,YVR to CDG via LHR,Economy Class,2.0,5.0,5.0,5.0,0.0,2.0,5.0,yes
A380,China,Solo Leisure,HKG to LHR,Premium Economy,4.0,4.0,3.0,3.0,0.0,3.0,5.0,yes
A380-800,United Kingdom,Couple Leisure,SFO to LHR,Business Class,5.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
Boeing 747-400,United Kingdom,Solo Leisure,PEK to LHR,Premium Economy,5.0,5.0,4.0,4.0,0.0,2.0,5.0,yes
A380,United Kingdom,Couple Leisure,LHR to LAX,Premium Economy,5.0,5.0,4.0,4.0,0.0,5.0,4.0,yes
A320,United Kingdom,Family Leisure,LHR to ATH,Economy Class,4.0,4.0,3.0,4.0,0.0,3.0,4.0,yes
Boeing 747,Belgium,Business,RUH to DUS via LHR,Business Class,4.0,4.0,1.0,3.0,0.0,0.0,3.0,no
A320,United Kingdom,Solo Leisure,AMS to LGW,Business Class,1.0,3.0,2.0,1.0,0.0,0.0,2.0,no
A319,United Kingdom,Solo Leisure,LGW to AMS,Economy Class,3.0,1.0,1.0,1.0,0.0,0.0,3.0,yes
Boeing 767-300,United Kingdom,Family Leisure,LHR to LCA,Business Class,3.0,4.0,2.0,5.0,0.0,1.0,3.0,yes
SAAB 2000,United Kingdom,Couple Leisure,LCY to IOM,Economy Class,4.0,5.0,4.0,5.0,0.0,0.0,4.0,yes
Boeing 737,Denmark,Solo Leisure,CPH to LHR,Economy Class,3.0,1.0,5.0,1.0,0.0,0.0,4.0,no
E-170,United Kingdom,Business,LCY to RTM,Economy Class,4.0,5.0,4.0,4.0,0.0,0.0,4.0,yes
Boeing 787 / A320,Canada,Couple Leisure,YYZ to TXL via LHR,Business Class,5.0,5.0,5.0,5.0,0.0,5.0,4.0,yes
Boeing 777,Canada,Couple Leisure,TLV to LHR,Business Class,5.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
A319,United Kingdom,Couple Leisure,LGW to FCO,Business Class,3.0,5.0,3.0,3.0,0.0,0.0,2.0,yes
A380 / Boeing 747-400,United States,Business,IAD to DXB via LHR,Business Class,3.0,4.0,4.0,3.0,0.0,3.0,3.0,yes
Boeing 747-400,United Kingdom,Solo Leisure,MIA to MAN via LHR,Economy Class,3.0,2.0,4.0,1.0,0.0,1.0,1.0,no
A321,United Kingdom,Couple Leisure,LHR to PSA,Business Class,1.0,4.0,3.0,3.0,0.0,0.0,1.0,no
Boeing 777,United Kingdom,Couple Leisure,UVF to LGW,Premium Economy,2.0,1.0,2.0,1.0,0.0,1.0,1.0,no
A320,United Kingdom,Family Leisure,SVQ to LGW,Economy Class,3.0,5.0,2.0,3.0,0.0,0.0,4.0,yes
A319,United Kingdom,Family Leisure,LGW to SVQ,Economy Class,3.0,4.0,4.0,3.0,0.0,0.0,4.0,yes
Boeing 787,United Kingdom,Solo Leisure,BCN to SEL via LHR,Economy Class,3.0,4.0,4.0,4.0,0.0,4.0,5.0,yes
Boeing 777-200,Switzerland,Couple Leisure,LHR to IAH,Economy Class,3.0,5.0,4.0,4.0,0.0,4.0,4.0,yes
Boeing 747-400,United Kingdom,Couple Leisure,LHR to DEN,First Class,3.0,4.0,4.0,3.0,1.0,3.0,2.0,no
Boeing 747-400 /A380,South Africa,Solo Leisure,SEA to JNB via LHR,Economy Class,3.0,4.0,4.0,4.0,0.0,2.0,4.0,yes
Boeing 787,United Kingdom,Solo Leisure,AUH to LHR,Economy Class,2.0,5.0,4.0,1.0,0.0,4.0,4.0,yes
A320,Malaysia,Solo Leisure,LGW to AMS,Business Class,2.0,2.0,3.0,2.0,0.0,0.0,2.0,no
Boeing 747-400,United States,Solo Leisure,ORD to LHR,First Class,5.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
A320,United Kingdom,Solo Leisure,LHR to AMS,Business Class,5.0,5.0,5.0,5.0,0.0,0.0,5.0,yes
Boeing 777,United States,Couple Leisure,PHL to LHR,Economy Class,1.0,5.0,3.0,1.0,0.0,3.0,1.0,no
A320 / Boeing 767,United Kingdom,Business,LHR to EDI,Economy Class,4.0,4.0,4.0,2.0,0.0,0.0,4.0,yes
Boeing 777,United States,Couple Leisure,PHL to LHR,Economy Class,1.0,5.0,3.0,1.0,0.0,3.0,1.0,no
Boeing 777-300,United Kingdom,Solo Leisure,SIN to LHR,Premium Economy,1.0,2.0,2.0,1.0,0.0,1.0,1.0,no
Boeing 777,United Kingdom,Couple Leisure,LHR to NBO,Premium Economy,3.0,5.0,5.0,4.0,0.0,3.0,4.0,yes
"A320, A380",Greece,Solo Leisure,ATH to LAX via LHR,Economy Class,2.0,4.0,4.0,4.0,0.0,5.0,3.0,yes
A320,United Kingdom,Solo Leisure,TRN to LGW,Business Class,4.0,5.0,4.0,5.0,0.0,0.0,5.0,yes
Boeing 747-400,United Kingdom,Business,LHR to SFO,Economy Class,1.0,3.0,1.0,3.0,0.0,1.0,1.0,no
"A320, Boeing 777",Finland,Couple Leisure,HEL to BOM via LHR,Economy Class,5.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
Boeing 777,United Kingdom,Couple Leisure,PUJ to LGW,Premium Economy,2.0,3.0,4.0,3.0,0.0,2.0,3.0,yes
A321,United Kingdom,Business,LHR to SVO,Economy Class,1.0,2.0,5.0,1.0,0.0,3.0,2.0,no
A320,Switzerland,Solo Leisure,LHR to ZRH,Economy Class,4.0,3.0,3.0,3.0,0.0,0.0,4.0,yes
A321,Switzerland,Solo Leisure,ZRH to LHR,Business Class,4.0,4.0,4.0,3.0,0.0,0.0,3.0,yes
A380,United Kingdom,Couple Leisure,MIA to LHR,Premium Economy,1.0,4.0,4.0,3.0,0.0,4.0,2.0,no
Boeing 777,United Kingdom,Business,HKG to LHR,Premium Economy,3.0,3.0,1.0,3.0,0.0,3.0,1.0,no
A319,United Kingdom,Solo Leisure,LHR to EDI,Economy Class,5.0,5.0,5.0,3.0,0.0,0.0,3.0,yes
Boeing 777 ,United Kingdom,Couple Leisure,SYD to LHR via SIN,Business Class,1.0,2.0,2.0,0.0,0.0,3.0,1.0,no
A380,United Kingdom,Couple Leisure,EDI to SFO via LHR,Premium Economy,5.0,4.0,4.0,5.0,0.0,5.0,5.0,yes
Boeing 777,United Kingdom,Couple Leisure,LHR to SIN,First Class,5.0,4.0,3.0,3.0,0.0,5.0,5.0,yes
Boeing 777,United Kingdom,Couple Leisure,LHR to GIG,Premium Economy,4.0,4.0,4.0,3.0,4.0,4.0,3.0,yes
Boeing 747-400 / A380,United Kingdom,Business,LHR to ORD,First Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
Boeing 767,United Kingdom,Solo Leisure,LHR to ATH,Economy Class,4.0,5.0,5.0,4.0,0.0,4.0,5.0,yes
Boeing 747-400,Denmark,Business,CPH to ACC via LHR,Economy Class,4.0,4.0,3.0,4.0,0.0,4.0,5.0,yes
A320,United Kingdom,Solo Leisure,LHR to MUC,Business Class,2.0,5.0,5.0,5.0,0.0,0.0,5.0,yes
A320,Australia,Solo Leisure,ARN to LHR,Economy Class,1.0,2.0,3.0,2.0,0.0,0.0,3.0,no
A320,United Kingdom,Business,LHR to HEL,Business Class,3.0,4.0,4.0,2.0,0.0,0.0,2.0,no
Boeing 777-200,United Kingdom,Couple Leisure,EDI to PHL via LHR,Economy Class,4.0,5.0,4.0,4.0,0.0,4.0,4.0,yes
A320,United Kingdom,Solo Leisure,VCE to LGW,Economy Class,4.0,5.0,4.0,5.0,0.0,0.0,5.0,yes
Boeing 787,United Kingdom,Business,LHR to MAA,Business Class,5.0,5.0,4.0,4.0,0.0,4.0,4.0,yes
Boeing 777-200,United Kingdom,Solo Leisure,JFK to LHR,Business Class,4.0,5.0,5.0,4.0,0.0,4.0,4.0,yes
Boeing 777-300ER,United Kingdom,Solo Leisure,LHR to JFK,Economy Class,4.0,4.0,4.0,3.0,0.0,4.0,4.0,yes
"A320, Boeing 767-300",United Kingdom,Business,LHR - EDI to LHR,Economy Class,4.0,4.0,4.0,3.0,0.0,0.0,3.0,yes
Boeing 777,United Kingdom,Solo Leisure,JFK to LHR,Economy Class,2.0,5.0,3.0,2.0,0.0,2.0,3.0,no
Boeing 747-400,Switzerland,Couple Leisure,ACC to ZRH via LHR,Economy Class,3.0,5.0,4.0,4.0,0.0,4.0,5.0,yes
A320,United Kingdom,Solo Leisure,OUL to LHR via HEL,Economy Class,5.0,5.0,4.0,3.0,0.0,0.0,4.0,yes
A319,Netherlands,Business,LHR to AMS,Business Class,1.0,2.0,3.0,1.0,0.0,0.0,1.0,no
A320,Romania,Solo Leisure,OTP to LHR,Business Class,1.0,4.0,4.0,1.0,0.0,1.0,2.0,no
A380,United States,Business,IAD to LHR,Economy Class,5.0,5.0,1.0,3.0,1.0,3.0,4.0,yes
Boeing 747,United Kingdom,Couple Leisure,LHR to CPT,Premium Economy,3.0,2.0,4.0,2.0,0.0,1.0,1.0,no
Boeing 777,United Kingdom,Couple Leisure,MAN to GIG via LHR,First Class,1.0,1.0,1.0,3.0,0.0,2.0,2.0,no
"Boeing 777, A320, A380",United States,Couple Leisure,LAX to AMS via LHR,Business Class,4.0,5.0,5.0,3.0,0.0,4.0,5.0,yes
Boeing 777,United Kingdom,Couple Leisure,LGW to PUJ,Economy Class,4.0,5.0,2.0,3.0,0.0,2.0,5.0,yes
Boeing 777,United Kingdom,Solo Leisure,LGW to CUN,Premium Economy,4.0,1.0,3.0,3.0,0.0,3.0,3.0,no
Boeing 787-9,United Kingdom,Couple Leisure,KUL to LHR,First Class,1.0,4.0,4.0,3.0,0.0,3.0,1.0,no
Boeing 767,United Kingdom,Couple Leisure,LHR to ATH,Economy Class,5.0,5.0,5.0,5.0,0.0,0.0,5.0,yes
Boeing 747,United Kingdom,Family Leisure,LHR to YVR,Economy Class,1.0,1.0,2.0,1.0,0.0,1.0,1.0,no
Boeing 787 / 777,United States,Business,SEA to TLV via LHR,Business Class,3.0,3.0,2.0,2.0,0.0,2.0,2.0,no
A320,United Kingdom,Couple Leisure,LGW to NAP,Business Class,2.0,5.0,2.0,4.0,0.0,0.0,3.0,yes
A319,United Kingdom,Solo Leisure,LHR to DUB,Economy Class,5.0,3.0,3.0,3.0,0.0,0.0,4.0,yes
Boeing 777,United Kingdom,Solo Leisure,LHR to YYZ,Business Class,0.0,0.0,3.0,0.0,0.0,0.0,1.0,no
Boeing 777,United Kingdom,Solo Leisure,YYZ to LHR,Business Class,2.0,2.0,4.0,2.0,0.0,0.0,1.0,no
A320,United Kingdom,Couple Leisure,LGW to RAK,Economy Class,3.0,4.0,4.0,2.0,0.0,0.0,4.0,yes
Boeing 747,Canada,Family Leisure,YVR to LIS via LHR,Economy Class,3.0,3.0,1.0,1.0,3.0,2.0,1.0,no
A320,United Kingdom,Solo Leisure,LGW to GVA,Business Class,5.0,5.0,2.0,4.0,0.0,0.0,5.0,yes
A380,United Kingdom,Couple Leisure,LHR to MIa,First Class,5.0,5.0,4.0,5.0,0.0,4.0,4.0,yes
Boeing 747 400,United Kingdom,Family Leisure,EDI to LAS via LHR,Business Class,4.0,5.0,3.0,5.0,0.0,3.0,4.0,yes
Boeing 777,United Kingdom,Family Leisure,LHR to DXB,Business Class,3.0,3.0,2.0,3.0,0.0,2.0,3.0,no
A320,Italy,Solo Leisure,MXP to LHR,Economy Class,4.0,4.0,3.0,4.0,0.0,0.0,4.0,yes
A320,United Kingdom,Solo Leisure,BCN to LHR,Economy Class,3.0,5.0,4.0,4.0,0.0,0.0,3.0,yes
Boeing 747-400,United States,Business,LHR to BOM,Business Class,4.0,5.0,4.0,4.0,0.0,3.0,5.0,yes
Boeing 777,United Kingdom,Solo Leisure,ATL to LHR,First Class,5.0,5.0,4.0,5.0,0.0,5.0,4.0,yes
Boeing 777-200,United States,Business,DOH to LHR via BAH,Business Class,4.0,4.0,3.0,4.0,0.0,3.0,4.0,yes
Boeing 747-400,Brazil,Business,LHR to GRU,Business Class,3.0,4.0,4.0,2.0,0.0,2.0,3.0,no
A320,United Kingdom,Solo Leisure,KBP to LHR,Economy Class,4.0,4.0,1.0,5.0,0.0,0.0,5.0,yes
Boeing 747-400,United Kingdom,Family Leisure,YVR to LHR,Economy Class,2.0,1.0,3.0,2.0,0.0,3.0,2.0,no
A320,United Kingdom,Couple Leisure,GLA to LHR,Economy Class,4.0,5.0,5.0,5.0,0.0,0.0,5.0,yes
"A380, Boeing 747 and Boeing 777",South Africa,Solo Leisure,JNB to JFK via LHR,Economy Class,4.0,5.0,5.0,4.0,0.0,3.0,4.0,yes
Boeing 777-200,United Kingdom,Couple Leisure,GIG to LHR,First Class,3.0,4.0,3.0,3.0,0.0,4.0,3.0,no
A380,United Kingdom,Couple Leisure,LHR to SIN,First Class,3.0,4.0,3.0,4.0,0.0,3.0,3.0,no
"A320, A380, Boeing 777-300",Poland,Couple Leisure,WAW to HKG via LHR,Economy Class,3.0,3.0,4.0,4.0,0.0,4.0,4.0,yes
Boeing 777,United Kingdom,Business,LHR to EWR,First Class,5.0,5.0,4.0,5.0,0.0,5.0,4.0,yes
A318,United Kingdom,Solo Leisure,LCY to JFK,Business Class,3.0,5.0,5.0,1.0,0.0,2.0,5.0,yes
Boeing 777-200,United States,Solo Leisure,LHR to BOS,Economy Class,2.0,2.0,1.0,1.0,0.0,2.0,2.0,no
Boeing 777,United Kingdom,Couple Leisure,LHR to GIG,Business Class,4.0,5.0,4.0,4.0,0.0,3.0,4.0,yes
Boeing 777,United Kingdom,Couple Leisure,LGW to MLE,Business Class,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
A380,United Kingdom,Couple Leisure,JNB to LHR,Business Class,3.0,2.0,1.0,2.0,1.0,2.0,1.0,no
Boeing 747-400,United Kingdom,Couple Leisure,GLA to JFK via LHR,Economy Class,4.0,5.0,4.0,5.0,0.0,5.0,5.0,yes
Boeing 747-400,Kuwait,Solo Leisure,KWI to EDI via LHR,Premium Economy,5.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
Boeing 747-400,United Kingdom,Solo Leisure,YVR to LHR,Premium Economy,3.0,3.0,4.0,1.0,1.0,1.0,2.0,no
A380,United Kingdom,Solo Leisure,LHR to SFO via EDI,Premium Economy,1.0,1.0,1.0,0.0,0.0,0.0,1.0,no
Embraer 190,United Kingdom,Solo Leisure,FRA to LCY,Economy Class,5.0,5.0,2.0,4.0,0.0,0.0,3.0,yes
A320,United Kingdom,Solo Leisure,LGW to SZG,Economy Class,4.0,4.0,3.0,3.0,0.0,0.0,4.0,yes
A380,United Kingdom,Family Leisure,MIA to MAN via LHR,Premium Economy,2.0,1.0,1.0,1.0,0.0,1.0,1.0,no
Boeing 777,Thailand,Couple Leisure,BKK to LHR,Economy Class,2.0,2.0,3.0,1.0,1.0,1.0,2.0,no
A380,United Kingdom,Solo Leisure,HKG to LHR,Economy Class,4.0,5.0,4.0,3.0,0.0,3.0,4.0,yes
Boeing 767,Netherlands,Solo Leisure,AMS to LHR,Economy Class,4.0,4.0,5.0,4.0,0.0,0.0,4.0,yes
Boeing 777-300ER,Germany,Solo Leisure,HKG to LHR,First Class,5.0,4.0,3.0,2.0,0.0,0.0,2.0,no
Boeing 747,Canada,Solo Leisure,CPT to LHR,Business Class,4.0,3.0,4.0,4.0,0.0,4.0,4.0,yes
A380,Germany,Solo Leisure,LHR to SFO,Economy Class,4.0,5.0,4.0,5.0,0.0,5.0,4.0,yes
Boeing 777,United Kingdom,Couple Leisure,BKK to LHR,Business Class,2.0,3.0,3.0,2.0,1.0,3.0,3.0,yes
Boeing 777-300,Saudi Arabia,Solo Leisure,LHR to JED,Economy Class,3.0,4.0,3.0,4.0,0.0,4.0,4.0,yes
A320,United Kingdom,Couple Leisure,FNC to LGW,Business Class,1.0,2.0,2.0,1.0,0.0,0.0,1.0,no
Boeing 777-200,United Kingdom,Family Leisure,iAH to LHR,Premium Economy,3.0,3.0,3.0,3.0,0.0,2.0,2.0,no
A320/A321,Romania,Family Leisure,OTP to LHR,Economy Class,4.0,4.0,3.0,4.0,0.0,0.0,5.0,yes
Boeing 777-200,Canada,Couple Leisure,YYZ to LHR,Business Class,2.0,2.0,4.0,2.0,0.0,4.0,4.0,no
Boeing 747,United Kingdom,Couple Leisure,LHR to MEX,First Class,4.0,5.0,4.0,4.0,0.0,4.0,5.0,yes
Boeing 777,Germany,Couple Leisure,MUC to JFK via LHR,Premium Economy,3.0,3.0,5.0,4.0,0.0,4.0,4.0,yes
A320,United Kingdom,Couple Leisure,LHR to PSA,Economy Class,4.0,2.0,1.0,1.0,0.0,0.0,1.0,no
A320 and A319,United Kingdom,Solo Leisure,lgw to alicante,Economy Class,4.0,5.0,3.0,4.0,0.0,0.0,5.0,yes
Boeing 767,United Kingdom,Couple Leisure,LHR to GLA,Economy Class,3.0,3.0,2.0,2.0,0.0,0.0,1.0,no
A320,United Kingdom,Couple Leisure,MLA to LGW,Economy Class,4.0,4.0,4.0,4.0,0.0,0.0,5.0,yes
A380,United Kingdom,Couple Leisure,JNB to DUB via LHR,Economy Class,3.0,5.0,3.0,4.0,0.0,1.0,4.0,no
A320 / Boeing 787,United States,Solo Leisure,TLV to PHL via LHR,Economy Class,3.0,4.0,4.0,4.0,0.0,5.0,1.0,yes
Boeing 787,Canada,Family Leisure,NCE to YUL via LHR,Economy Class,5.0,5.0,5.0,4.0,0.0,4.0,5.0,yes
Boeing 777,United Kingdom,Solo Leisure,BKK to LHR,Economy Class,1.0,1.0,2.0,1.0,0.0,1.0,1.0,no
Boeing 747,United States,Solo Leisure,YVR-LIS via LHR,Economy Class,3.0,3.0,4.0,3.0,0.0,2.0,3.0,no
Boeing 777,India,Family Leisure,LHR to DEL,Business Class,4.0,4.0,5.0,4.0,0.0,4.0,4.0,yes
B767 / A380,Spain,Business,MAD to LAX via LHR,Business Class,4.0,5.0,5.0,5.0,0.0,5.0,4.0,yes
Boeing 777,United Kingdom,Couple Leisure,CPH to ORD via LHR,Business Class,2.0,3.0,1.0,1.0,1.0,1.0,1.0,no
A320,Austria,Solo Leisure,VIE to NCL via LHR,Economy Class,3.0,3.0,4.0,3.0,0.0,0.0,2.0,yes
A320,France,Solo Leisure,LHR to BCN,Economy Class,3.0,3.0,4.0,3.0,0.0,0.0,4.0,yes
A319,United Kingdom,Solo Leisure,LHR to NCL,Economy Class,2.0,3.0,4.0,1.0,0.0,0.0,1.0,no
Boeing 777,Saudi Arabia,Solo Leisure,JED to LHR,Economy Class,4.0,5.0,4.0,5.0,0.0,4.0,5.0,yes
A320,United Kingdom,Couple Leisure,LIS to LHR,Economy Class,3.0,1.0,3.0,3.0,0.0,1.0,3.0,no
Boeing 747-400,Canada,Solo Leisure,LHR to YVR,Business Class,4.0,4.0,3.0,3.0,0.0,1.0,2.0,no
Boeing 747-400,United Kingdom,Business,London to Vancouver,Economy Class,2.0,4.0,1.0,3.0,0.0,2.0,2.0,no
Boeing 747-400,United Kingdom,Family Leisure,LHR to BOM,Economy Class,1.0,1.0,3.0,2.0,0.0,1.0,1.0,no
Boeing 777-200,United Kingdom,Couple Leisure,LGW to MCO,Business Class,5.0,5.0,4.0,5.0,0.0,4.0,5.0,yes
Embraer170,Japan,Family Leisure,LCY to GVA,Economy Class,4.0,5.0,4.0,4.0,0.0,0.0,4.0,yes
Boeing 747-400,United Kingdom,Couple Leisure,GRU to LHR,Business Class,5.0,5.0,5.0,5.0,0.0,3.0,5.0,yes
Boeing 777-300,Spain,Solo Leisure,Madrid to Sydney via LHR,Economy Class,4.0,1.0,4.0,3.0,0.0,4.0,4.0,yes
A380,United Kingdom,Couple Leisure,Heathrow to Johannesburg,Business Class,2.0,4.0,2.0,3.0,0.0,2.0,3.0,no
A320,United Kingdom,Couple Leisure,LGW to BCN,Business Class,4.0,5.0,5.0,5.0,0.0,0.0,5.0,yes
A320,United Kingdom,Couple Leisure,LHR to AMS,Business Class,5.0,5.0,5.0,5.0,0.0,0.0,5.0,yes
A380,United Kingdom,Solo Leisure,London to Los Angeles,Business Class,3.0,3.0,3.0,2.0,0.0,2.0,1.0,no
Boeing 777,United Kingdom,Couple Leisure,GIG to LHR,Premium Economy,3.0,2.0,2.0,2.0,0.0,1.0,1.0,no
Boeing 747,United Kingdom,Couple Leisure,LHR to YVR,Business Class,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes
A319,United Kingdom,Business,Newcastle to Heathrow,Economy Class,4.0,5.0,5.0,0.0,0.0,0.0,5.0,yes
Boeing 777-200,United Kingdom,Couple Leisure,MAN to JFK via LHR,Business Class,4.0,5.0,5.0,5.0,0.0,4.0,5.0,yes
Boeing 747-400,United Kingdom,Solo Leisure,Phoenix to Heathrow,Economy Class,1.0,4.0,3.0,1.0,0.0,2.0,2.0,no
Boeing 777,United Kingdom,Business,LHR to AUS,Premium Economy,3.0,3.0,1.0,2.0,1.0,3.0,1.0,no
Boeing 777,United Kingdom,Couple Leisure,Punta Cana to London,Economy Class,3.0,1.0,3.0,1.0,1.0,1.0,2.0,no
Boeing 777-300,United Kingdom,Couple Leisure,LHR to SIN,Economy Class,5.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
Boeing 777,United States,Solo Leisure,SEA to LHR,Premium Economy,4.0,3.0,2.0,3.0,0.0,4.0,4.0,yes
Boeing 747,United States,Solo Leisure,LHR to SEA,Economy Class,2.0,3.0,5.0,5.0,0.0,2.0,3.0,yes
Boeing 777,United Kingdom,Couple Leisure,BKK to LHR,Business Class,5.0,5.0,5.0,5.0,0.0,4.0,5.0,yes
A320,Germany,Solo Leisure,TXL to LHR,Business Class,5.0,5.0,4.0,5.0,0.0,0.0,4.0,yes
Boeing 777-200,United Kingdom,Couple Leisure,London Gatwick to Punta Cana,Business Class,5.0,5.0,5.0,5.0,0.0,4.0,5.0,yes
Boeing 777-200,United Kingdom,Solo Leisure,LGW to TPA,Economy Class,3.0,4.0,4.0,4.0,0.0,4.0,4.0,yes
Boeing 747-400,United Kingdom,Solo Leisure,Heathrow to Cape Town,Economy Class,4.0,5.0,5.0,5.0,0.0,4.0,4.0,yes
Boeing 747-400,United Kingdom,Solo Leisure,London to Chicago,Economy Class,3.0,3.0,3.0,2.0,0.0,0.0,3.0,yes
Boeing 777,United Kingdom,Couple Leisure,Gatwick to Las Vegas,Premium Economy,4.0,4.0,4.0,3.0,1.0,3.0,3.0,yes
Boeing 777 / A319,Belgium,Solo Leisure,HND to BRU via LHR,First Class,3.0,4.0,4.0,2.0,0.0,2.0,3.0,yes
Boeing 747-400,Denmark,Business,LAS to LHR,First Class,3.0,5.0,1.0,2.0,0.0,1.0,1.0,no
Boeing 777,United Kingdom,Couple Leisure,Tampa to Gatwick,Business Class,4.0,4.0,3.0,3.0,0.0,2.0,4.0,yes
Boeing 747-400,United Kingdom,Couple Leisure,LHR to MIA,Premium Economy,4.0,3.0,3.0,3.0,0.0,2.0,3.0,yes
Boeing 747-400,United Kingdom,Couple Leisure,JFK to LHR,Economy Class,2.0,3.0,4.0,3.0,0.0,4.0,3.0,yes
Boeing 777,United States,Couple Leisure,YUL to FCO via LHR,Economy Class,4.0,3.0,1.0,1.0,0.0,1.0,1.0,no
Boeing 777-200,United Kingdom,Couple Leisure,LHR to KUL,Premium Economy,3.0,2.0,3.0,2.0,0.0,2.0,3.0,no
Boeing 777,United States,Family Leisure,IAD to DXB via LHR,Economy Class,1.0,4.0,3.0,4.0,0.0,4.0,4.0,yes
Boeing 747-400,United Kingdom,Solo Leisure,EDI to LAS via LHR,Economy Class,3.0,5.0,5.0,5.0,0.0,4.0,5.0,yes
A320,United Kingdom,Solo Leisure,MAD to LHR,Economy Class,5.0,5.0,4.0,4.0,0.0,0.0,4.0,yes
A320,United Kingdom,Couple Leisure,LHR to IST,Business Class,1.0,4.0,2.0,1.0,0.0,0.0,1.0,no
Boeing 777-200,United Kingdom,Couple Leisure,GLA to BKK via LHR,Premium Economy,2.0,1.0,2.0,3.0,1.0,1.0,2.0,no
Boeing 777-300ER,United Kingdom,Business,MAN to BOM via LHR,Economy Class,3.0,1.0,4.0,1.0,0.0,2.0,4.0,yes
Boeing 777,United Kingdom,Couple Leisure,Bangkok to London,Business Class,4.0,2.0,3.0,2.0,1.0,0.0,2.0,no
A319,United Kingdom,Business,LGW to AMS,Economy Class,1.0,2.0,1.0,1.0,0.0,0.0,3.0,no
A380,United Kingdom,Couple Leisure,Heathrow to Singapore,First Class,5.0,5.0,5.0,5.0,0.0,5.0,5.0,yes
A320/321,United Kingdom,Couple Leisure,LHR to Krakow,Business Class,2.0,5.0,2.0,4.0,0.0,0.0,3.0,yes
A380,France,Solo Leisure,BSL to JNB via LHR,Premium Economy,4.0,5.0,4.0,4.0,0.0,5.0,4.0,yes
Boeing 747-400,Canada,Solo Leisure,London to Vancouver,Economy Class,3.0,4.0,2.0,5.0,1.0,5.0,3.0,yes
A380 / Boeing 747-400,United Kingdom,Couple Leisure,LHR to SFO,Premium Economy,4.0,5.0,3.0,5.0,0.0,4.0,5.0,yes
Boeing 747-400,United Kingdom,Business,LHR to GRU,Business Class,1.0,2.0,3.0,1.0,0.0,1.0,1.0,no
Boeing 777,United Kingdom,Couple Leisure,LGW to Grenada,Premium Economy,3.0,3.0,3.0,3.0,2.0,2.0,3.0,yes
Boeing 767 / A320,United Kingdom,Business,LHR to EDI,Economy Class,4.0,4.0,4.0,4.0,0.0,0.0,4.0,yes
Boeing 777,United Kingdom,Couple Leisure,Tampa to Gatwick,Business Class,4.0,4.0,3.0,3.0,0.0,2.0,4.0,yes
A319,Italy,Solo Leisure,FCO to LGW,Business Class,3.0,2.0,2.0,4.0,0.0,0.0,4.0,yes
Boeing 747-400,United Kingdom,Couple Leisure,LHR to MIA,Premium Economy,4.0,3.0,3.0,3.0,0.0,2.0,3.0,yes
A320,United Kingdom,Business,Hannover to LHR,Business Class,2.0,4.0,1.0,1.0,0.0,0.0,1.0,no
A320,United Kingdom,Business,LHR to Hannover,Business Class,2.0,4.0,3.0,1.0,0.0,0.0,2.0,no
Boeing 777,United Kingdom,Solo Leisure,LHR to DXB,Business Class,2.0,4.0,4.0,3.0,0.0,3.0,4.0,yes
Boeing 777,United Kingdom,Solo Leisure,Heathrow to Houston,First Class,5.0,5.0,5.0,3.0,0.0,4.0,4.0,yes
A319,United Kingdom,Family Leisure,LGW to ALC,Economy Class,4.0,4.0,4.0,4.0,0.0,0.0,4.0,yes
A319,Ireland,Business,Kiev to Dublin via LHR,Economy Class,2.0,2.0,2.0,1.0,0.0,0.0,1.0,no
Boeing 777-300,Australia,Business,Sydney to Singapore,Premium Economy,4.0,5.0,4.0,4.0,0.0,4.0,4.0,yes
A320,Greece,Solo Leisure,ATH to LHR,Economy Class,4.0,5.0,3.0,4.0,0.0,0.0,4.0,yes
Boeing 747-400,United Kingdom,Couple Leisure,CPT to LHR,First Class,5.0,2.0,4.0,2.0,0.0,1.0,3.0,no
